"","Well","Tag","DateTime","Value"
"1","KU 12-17","press","2015-06-19 00:00:00.0000000",854.2109375
"2","KU 12-17","press","2015-06-19 00:00:23.9020000",854.093139648438
"3","KU 12-17","press","2015-06-19 00:00:53.9170000",853.975402832031
"4","KU 12-17","press","2015-06-19 00:01:03.8860000",854.034301757812
"5","KU 12-17","press","2015-06-19 00:01:38.9020000",853.680969238281
"6","KU 12-17","press","2015-06-19 00:02:00.3710000",853.739868164062
"7","KU 12-17","press","2015-06-19 00:02:58.9170000",853.739868164062
"8","KU 12-17","press","2015-06-19 00:03:08.9170000",853.739868164062
"9","KU 12-17","press","2015-06-19 00:03:48.9020000",853.739868164062
"10","KU 12-17","press","2015-06-19 00:04:13.9020000",853.739868164062
"11","KU 12-17","press","2015-06-19 00:04:33.9170000",853.739868164062
"12","KU 12-17","press","2015-06-19 00:05:13.9170000",853.739868164062
"13","KU 12-17","press","2015-06-19 00:05:48.9020000",853.739868164062
"14","KU 12-17","press","2015-06-19 00:06:23.9170000",853.739868164062
"15","KU 12-17","press","2015-06-19 00:06:48.9020000",853.680969238281
"16","KU 12-17","press","2015-06-19 00:07:28.9020000",853.680969238281
"17","KU 12-17","press","2015-06-19 00:07:43.9020000",853.680969238281
"18","KU 12-17","press","2015-06-19 00:08:03.9020000",853.563232421875
"19","KU 12-17","press","2015-06-19 00:08:38.9020000",853.563232421875
"20","KU 12-17","press","2015-06-19 00:09:03.9020000",853.6220703125
"21","KU 12-17","press","2015-06-19 00:09:43.9170000",853.680969238281
"22","KU 12-17","press","2015-06-19 00:10:03.9170000",853.563232421875
"23","KU 12-17","press","2015-06-19 00:10:38.9020000",853.504272460938
"24","KU 12-17","press","2015-06-19 00:11:03.9490000",853.445434570312
"25","KU 12-17","press","2015-06-19 00:11:53.9170000",853.563232421875
"26","KU 12-17","press","2015-06-19 00:12:03.9490000",853.504272460938
"27","KU 12-17","press","2015-06-19 00:12:38.9170000",853.504272460938
"28","KU 12-17","press","2015-06-19 00:13:13.9020000",853.739868164062
"29","KU 12-17","press","2015-06-19 00:13:38.9170000",853.680969238281
"30","KU 12-17","press","2015-06-19 00:14:58.9170000",853.680969238281
"31","KU 12-17","press","2015-06-19 00:15:13.9170000",853.680969238281
"32","KU 12-17","press","2015-06-19 00:15:33.9020000",853.680969238281
"33","KU 12-17","press","2015-06-19 00:16:03.9170000",853.680969238281
"34","KU 12-17","press","2015-06-19 00:16:48.9170000",853.680969238281
"35","KU 12-17","press","2015-06-19 00:17:18.9020000",853.680969238281
"36","KU 12-17","press","2015-06-19 00:17:43.9170000",853.680969238281
"37","KU 12-17","press","2015-06-19 00:18:08.9020000",853.504272460938
"38","KU 12-17","press","2015-06-19 00:18:43.9020000",853.504272460938
"39","KU 12-17","press","2015-06-19 00:19:28.9020000",853.504272460938
"40","KU 12-17","press","2015-06-19 00:19:33.9330000",853.32763671875
"41","KU 12-17","press","2015-06-19 00:20:13.9170000",853.268737792969
"42","KU 12-17","press","2015-06-19 00:20:43.9020000",853.268737792969
"43","KU 12-17","press","2015-06-19 00:21:03.9170000",853.268737792969
"44","KU 12-17","press","2015-06-19 00:22:08.9170000",853.268737792969
"45","KU 12-17","press","2015-06-19 00:22:58.9020000",853.32763671875
"46","KU 12-17","press","2015-06-19 00:23:23.9170000",853.32763671875
"47","KU 12-17","press","2015-06-19 00:23:43.9020000",853.32763671875
"48","KU 12-17","press","2015-06-19 00:24:03.9170000",853.32763671875
"49","KU 12-17","press","2015-06-19 00:24:48.9170000",853.268737792969
"50","KU 12-17","press","2015-06-19 00:25:18.9020000",853.386535644531
"51","KU 12-17","press","2015-06-19 00:25:43.9170000",853.32763671875
