"","Well","Tag","DateTime","Value"
"1","KU 12-17","press","2024-03-23 00:00:00.0000000",1747.82739257812
"2","KU 12-17","press","2024-03-23 00:00:08.9940000",1747.41528320312
"3","KU 12-17","press","2024-03-23 00:00:38.9920000",1747.06201171875
"4","KU 12-17","press","2024-03-23 00:01:08.9900000",1746.64965820312
"5","KU 12-17","press","2024-03-23 00:01:39.0030000",1746.11975097656
"6","KU 12-17","press","2024-03-23 00:02:09.0010000",1745.82531738281
"7","KU 12-17","press","2024-03-23 00:02:38.9990000",1745.47192382812
"8","KU 12-17","press","2024-03-23 00:03:23.9960000",1745.11865234375
"9","KU 12-17","press","2024-03-23 00:03:43.9970000",1744.94189453125
"10","KU 12-17","press","2024-03-23 00:04:03.9990000",1744.52978515625
"11","KU 12-17","press","2024-03-23 00:04:34.0030000",1744.29418945312
"12","KU 12-17","press","2024-03-23 00:05:04.0070000",1744.11755371094
"13","KU 12-17","press","2024-03-23 00:05:44.0120000",1743.646484375
"14","KU 12-17","press","2024-03-23 00:06:04.0300000",1743.41088867188
"15","KU 12-17","press","2024-03-23 00:06:39.0350000",1743.0576171875
"16","KU 12-17","press","2024-03-23 00:07:04.0380000",1742.70434570312
"17","KU 12-17","press","2024-03-23 00:07:39.0430000",1742.40991210938
"18","KU 12-17","press","2024-03-23 00:08:19.0480000",1742.11547851562
"19","KU 12-17","press","2024-03-23 00:08:39.0510000",1741.82092285156
"20","KU 12-17","press","2024-03-23 00:09:04.0540000",1741.58544921875
"21","KU 12-17","press","2024-03-23 00:09:39.0580000",1741.23205566406
"22","KU 12-17","press","2024-03-23 00:10:09.0620000",1740.81982421875
"23","KU 12-17","press","2024-03-23 00:10:44.0810000",1740.64318847656
"24","KU 12-17","press","2024-03-23 00:11:04.0840000",1740.17211914062
"25","KU 12-17","press","2024-03-23 00:11:34.0880000",1739.87768554688
"26","KU 12-17","press","2024-03-23 00:12:04.0910000",1739.75988769531
"27","KU 12-17","press","2024-03-23 00:12:54.0970000",1739.34765625
"28","KU 12-17","press","2024-03-23 00:13:04.0990000",1739.05322265625
"29","KU 12-17","press","2024-03-23 00:13:34.1020000",1738.7587890625
"30","KU 12-17","press","2024-03-23 00:14:09.1060000",1738.3466796875
"31","KU 12-17","press","2024-03-23 00:14:34.1090000",1738.169921875
"32","KU 12-17","press","2024-03-23 00:15:04.1280000",1737.93432617188
"33","KU 12-17","press","2024-03-23 00:15:34.1320000",1737.5810546875
"34","KU 12-17","press","2024-03-23 00:16:04.1350000",1737.10998535156
"35","KU 12-17","press","2024-03-23 00:16:34.1390000",1736.87438964844
"36","KU 12-17","press","2024-03-23 00:17:14.1430000",1736.46215820312
"37","KU 12-17","press","2024-03-23 00:17:34.1460000",1736.28552246094
"38","KU 12-17","press","2024-03-23 00:18:04.1490000",1735.93212890625
"39","KU 12-17","press","2024-03-23 00:18:59.1400000",1735.40222167969
"40","KU 12-17","press","2024-03-23 00:19:14.1730000",1735.2255859375
"41","KU 12-17","press","2024-03-23 00:19:44.1760000",1734.98999023438
"42","KU 12-17","press","2024-03-23 00:20:04.1780000",1734.63671875
"43","KU 12-17","press","2024-03-23 00:20:34.1810000",1734.4599609375
"44","KU 12-17","press","2024-03-23 00:21:09.1850000",1734.10668945312
"45","KU 12-17","press","2024-03-23 00:21:34.1880000",1733.69445800781
"46","KU 12-17","press","2024-03-23 00:22:04.1910000",1733.458984375
"47","KU 12-17","press","2024-03-23 00:22:49.1960000",1732.92895507812
"48","KU 12-17","press","2024-03-23 00:23:19.1990000",1732.693359375
"49","KU 12-17","press","2024-03-23 00:23:44.2180000",1732.39892578125
"50","KU 12-17","press","2024-03-23 00:24:14.2210000",1732.16333007812
"51","KU 12-17","press","2024-03-23 00:24:39.2230000",1731.81005859375
"52","KU 12-17","press","2024-03-23 00:25:14.2270000",1731.57446289062
"53","KU 12-17","press","2024-03-23 00:25:54.2310000",1731.28002929688
