"","Well","Tag","DateTime","Value"
"1","KU 12-17","press","2024-03-13 00:00:00.0000000",1301.10754394531
"2","KU 12-17","press","2024-03-13 00:00:04.2490000",1300.98974609375
"3","KU 12-17","press","2024-03-13 00:00:49.2460000",1300.57751464844
"4","KU 12-17","press","2024-03-13 00:01:24.2430000",1300.51867675781
"5","KU 12-17","press","2024-03-13 00:01:34.2420000",1300.16528320312
"6","KU 12-17","press","2024-03-13 00:02:04.2560000",1300.04760742188
"7","KU 12-17","press","2024-03-13 00:02:39.2530000",1299.87084960938
"8","KU 12-17","press","2024-03-13 00:03:04.2510000",1299.57641601562
"9","KU 12-17","press","2024-03-13 00:03:54.2480000",1299.39978027344
"10","KU 12-17","press","2024-03-13 00:04:09.2470000",1299.28198242188
"11","KU 12-17","press","2024-03-13 00:04:49.2440000",1299.10534667969
"12","KU 12-17","press","2024-03-13 00:05:14.2420000",1298.9287109375
"13","KU 12-17","press","2024-03-13 00:05:39.2400000",1298.63427734375
"14","KU 12-17","press","2024-03-13 00:06:04.2380000",1298.51647949219
"15","KU 12-17","press","2024-03-13 00:06:49.2500000",1298.28100585938
"16","KU 12-17","press","2024-03-13 00:07:04.2490000",1298.22204589844
"17","KU 12-17","press","2024-03-13 00:07:44.2460000",1297.98645019531
"18","KU 12-17","press","2024-03-13 00:08:14.2440000",1297.51538085938
"19","KU 12-17","press","2024-03-13 00:08:44.2420000",1297.57434082031
"20","KU 12-17","press","2024-03-13 00:09:09.2400000",1297.45654296875
"21","KU 12-17","press","2024-03-13 00:09:44.2220000",1297.22094726562
"22","KU 12-17","press","2024-03-13 00:10:04.2360000",1296.92651367188
"23","KU 12-17","press","2024-03-13 00:10:59.2320000",1296.63208007812
"24","KU 12-17","press","2024-03-13 00:11:04.2470000",1296.5732421875
"25","KU 12-17","press","2024-03-13 00:11:34.2450000",1296.27880859375
"26","KU 12-17","press","2024-03-13 00:12:14.2420000",1296.21984863281
"27","KU 12-17","press","2024-03-13 00:12:34.2410000",1296.10205078125
"28","KU 12-17","press","2024-03-13 00:13:04.2390000",1295.74877929688
"29","KU 12-17","press","2024-03-13 00:13:34.2360000",1295.68994140625
"30","KU 12-17","press","2024-03-13 00:14:04.2340000",1295.57214355469
"31","KU 12-17","press","2024-03-13 00:14:44.2310000",1295.15991210938
"32","KU 12-17","press","2024-03-13 00:15:19.2440000",1294.92431640625
"33","KU 12-17","press","2024-03-13 00:15:39.2430000",1294.74768066406
"34","KU 12-17","press","2024-03-13 00:16:09.2400000",1294.74768066406
"35","KU 12-17","press","2024-03-13 00:16:44.2380000",1294.39440917969
"36","KU 12-17","press","2024-03-13 00:17:19.2350000",1294.2177734375
"37","KU 12-17","press","2024-03-13 00:17:54.2330000",1294.041015625
"38","KU 12-17","press","2024-03-13 00:18:09.2320000",1293.98217773438
"39","KU 12-17","press","2024-03-13 00:18:34.2300000",1293.80554199219
"40","KU 12-17","press","2024-03-13 00:19:09.2270000",1293.68774414062
"41","KU 12-17","press","2024-03-13 00:19:34.2410000",1293.39331054688
"42","KU 12-17","press","2024-03-13 00:20:04.2390000",1293.03991699219
"43","KU 12-17","press","2024-03-13 00:20:34.2360000",1292.86328125
"44","KU 12-17","press","2024-03-13 00:21:04.2340000",1292.92224121094
"45","KU 12-17","press","2024-03-13 00:21:54.2300000",1292.51000976562
"46","KU 12-17","press","2024-03-13 00:22:19.2290000",1292.33325195312
"47","KU 12-17","press","2024-03-13 00:22:44.2270000",1292.33325195312
"48","KU 12-17","press","2024-03-13 00:23:04.2250000",1292.09777832031
"49","KU 12-17","press","2024-03-13 00:23:34.2230000",1291.97998046875
"50","KU 12-17","press","2024-03-13 00:24:19.2350000",1291.62670898438
"51","KU 12-17","press","2024-03-13 00:24:44.2330000",1291.39111328125
"52","KU 12-17","press","2024-03-13 00:25:34.2300000",1291.15551757812
"53","KU 12-17","press","2024-03-13 00:26:09.2270000",1290.86108398438
"54","KU 12-17","press","2024-03-13 00:26:39.2250000",1290.86108398438
"55","KU 12-17","press","2024-03-13 00:27:04.2230000",1290.56665039062
"56","KU 12-17","press","2024-03-13 00:27:34.2210000",1290.39001464844
"57","KU 12-17","press","2024-03-13 00:28:14.2180000",1290.27221679688
"58","KU 12-17","press","2024-03-13 00:28:39.2310000",1290.09558105469
"59","KU 12-17","press","2024-03-13 00:29:14.2290000",1289.74230957031
"60","KU 12-17","press","2024-03-13 00:29:44.2260000",1289.50671386719
"61","KU 12-17","press","2024-03-13 00:30:04.2250000",1289.50671386719
"62","KU 12-17","press","2024-03-13 00:30:34.2230000",1289.15344238281
"63","KU 12-17","press","2024-03-13 00:31:19.2190000",1288.97668457031
"64","KU 12-17","press","2024-03-13 00:31:34.2180000",1288.97668457031
"65","KU 12-17","press","2024-03-13 00:32:14.2150000",1288.56457519531
"66","KU 12-17","press","2024-03-13 00:32:44.2130000",1288.56457519531
"67","KU 12-17","press","2024-03-13 00:33:04.2270000",1288.27001953125
"68","KU 12-17","press","2024-03-13 00:33:44.2240000",1288.03454589844
"69","KU 12-17","press","2024-03-13 00:34:04.2220000",1287.9755859375
"70","KU 12-17","press","2024-03-13 00:34:44.2190000",1287.62231445312
"71","KU 12-17","press","2024-03-13 00:35:04.2180000",1287.44567871094
"72","KU 12-17","press","2024-03-13 00:35:34.2160000",1287.21008300781
"73","KU 12-17","press","2024-03-13 00:36:04.2130000",1287.03344726562
"74","KU 12-17","press","2024-03-13 00:36:44.2100000",1286.7978515625
"75","KU 12-17","press","2024-03-13 00:37:19.2230000",1286.68017578125
"76","KU 12-17","press","2024-03-13 00:37:44.2210000",1286.56237792969
"77","KU 12-17","press","2024-03-13 00:38:29.2180000",1286.15014648438
"78","KU 12-17","press","2024-03-13 00:38:39.2170000",1285.91455078125
"79","KU 12-17","press","2024-03-13 00:39:14.2150000",1285.73791503906
"80","KU 12-17","press","2024-03-13 00:39:39.2130000",1285.56127929688
"81","KU 12-17","press","2024-03-13 00:40:09.2100000",1285.44348144531
"82","KU 12-17","press","2024-03-13 00:40:59.2070000",1285.20788574219
"83","KU 12-17","press","2024-03-13 00:41:04.2060000",1285.14904785156
"84","KU 12-17","press","2024-03-13 00:41:49.2180000",1284.79577636719
"85","KU 12-17","press","2024-03-13 00:42:19.2160000",1284.67797851562
"86","KU 12-17","press","2024-03-13 00:42:49.2140000",1284.4423828125
"87","KU 12-17","press","2024-03-13 00:43:29.2110000",1284.26574707031
"88","KU 12-17","press","2024-03-13 00:43:34.2100000",1284.20678710938
"89","KU 12-17","press","2024-03-13 00:44:19.2070000",1283.853515625
"90","KU 12-17","press","2024-03-13 00:44:34.2060000",1283.79467773438
"91","KU 12-17","press","2024-03-13 00:45:14.2030000",1283.73571777344
"92","KU 12-17","press","2024-03-13 00:45:39.2010000",1283.38244628906
"93","KU 12-17","press","2024-03-13 00:46:19.2130000",1283.32348632812
"94","KU 12-17","press","2024-03-13 00:46:34.2120000",1282.97021484375
"95","KU 12-17","press","2024-03-13 00:47:09.2100000",1282.79357910156
"96","KU 12-17","press","2024-03-13 00:47:44.2070000",1282.55798339844
"97","KU 12-17","press","2024-03-13 00:48:14.2050000",1282.38134765625
"98","KU 12-17","press","2024-03-13 00:48:34.2030000",1282.38134765625
"99","KU 12-17","press","2024-03-13 00:49:04.2010000",1282.14575195312
"100","KU 12-17","press","2024-03-13 00:49:34.1990000",1282.02807617188
"101","KU 12-17","press","2024-03-13 00:50:19.1950000",1281.85131835938
"102","KU 12-17","press","2024-03-13 00:50:54.2080000",1281.43908691406
"103","KU 12-17","press","2024-03-13 00:51:14.2060000",1281.20361328125
"104","KU 12-17","press","2024-03-13 00:51:59.2030000",1281.14465332031
"105","KU 12-17","press","2024-03-13 00:52:04.2030000",1281.08581542969
"106","KU 12-17","press","2024-03-13 00:52:34.2000000",1280.9091796875
"107","KU 12-17","press","2024-03-13 00:53:04.1980000",1280.9091796875
"108","KU 12-17","press","2024-03-13 00:53:39.1950000",1280.49694824219
"109","KU 12-17","press","2024-03-13 00:54:09.1930000",1280.3203125
"110","KU 12-17","press","2024-03-13 00:54:49.1900000",1280.1435546875
"111","KU 12-17","press","2024-03-13 00:55:04.2040000",1280.02587890625
"112","KU 12-17","press","2024-03-13 00:55:44.2010000",1279.96691894531
"113","KU 12-17","press","2024-03-13 00:56:14.1990000",1279.5546875
"114","KU 12-17","press","2024-03-13 00:56:59.1960000",1279.20141601562
"115","KU 12-17","press","2024-03-13 00:57:09.1950000",1279.20141601562
"116","KU 12-17","press","2024-03-13 00:57:34.1930000",1278.9658203125
"117","KU 12-17","press","2024-03-13 00:58:04.1900000",1278.78918457031
"118","KU 12-17","press","2024-03-13 00:58:34.1880000",1278.61254882812
"119","KU 12-17","press","2024-03-13 00:59:24.1840000",1278.43591308594
"120","KU 12-17","press","2024-03-13 00:59:34.1990000",1278.25927734375
"121","KU 12-17","press","2024-03-13 01:00:04.1970000",1278.08251953125
"122","KU 12-17","press","2024-03-13 01:00:39.1940000",1277.84704589844
"123","KU 12-17","press","2024-03-13 01:01:09.1920000",1277.67041015625
"124","KU 12-17","press","2024-03-13 01:01:49.1890000",1277.49365234375
"125","KU 12-17","press","2024-03-13 01:02:14.1870000",1277.31701660156
"126","KU 12-17","press","2024-03-13 01:02:39.1850000",1277.08142089844
"127","KU 12-17","press","2024-03-13 01:03:04.1830000",1276.96374511719
"128","KU 12-17","press","2024-03-13 01:03:39.1800000",1276.90478515625
"129","KU 12-17","press","2024-03-13 01:04:19.1930000",1276.6103515625
"130","KU 12-17","press","2024-03-13 01:04:34.1920000",1276.6103515625
"131","KU 12-17","press","2024-03-13 01:05:09.1890000",1276.13928222656
"132","KU 12-17","press","2024-03-13 01:05:54.1850000",1276.021484375
"133","KU 12-17","press","2024-03-13 01:06:14.1840000",1275.78588867188
"134","KU 12-17","press","2024-03-13 01:06:49.1810000",1275.60925292969
"135","KU 12-17","press","2024-03-13 01:07:04.1800000",1275.4326171875
"136","KU 12-17","press","2024-03-13 01:07:39.1770000",1275.25598144531
"137","KU 12-17","press","2024-03-13 01:08:14.1740000",1275.07934570312
"138","KU 12-17","press","2024-03-13 01:08:34.1880000",1274.84375
"139","KU 12-17","press","2024-03-13 01:09:09.1860000",1274.72595214844
"140","KU 12-17","press","2024-03-13 01:09:34.1840000",1274.60815429688
"141","KU 12-17","press","2024-03-13 01:10:04.1810000",1274.2548828125
"142","KU 12-17","press","2024-03-13 01:11:09.1760000",1273.90161132812
"143","KU 12-17","press","2024-03-13 01:11:59.1730000",1273.78381347656
"144","KU 12-17","press","2024-03-13 01:12:04.1720000",1273.72485351562
"145","KU 12-17","press","2024-03-13 01:12:34.1700000",1273.37158203125
"146","KU 12-17","press","2024-03-13 01:13:19.1820000",1273.19494628906
"147","KU 12-17","press","2024-03-13 01:13:39.1800000",1273.01818847656
"148","KU 12-17","press","2024-03-13 01:14:09.1780000",1272.78271484375
"149","KU 12-17","press","2024-03-13 01:14:39.1760000",1272.84155273438
"150","KU 12-17","press","2024-03-13 01:15:09.1730000",1272.31164550781
"151","KU 12-17","press","2024-03-13 01:15:54.1700000",1272.25268554688
"152","KU 12-17","press","2024-03-13 01:16:14.1680000",1271.84045410156
"153","KU 12-17","press","2024-03-13 01:16:44.1660000",1271.66381835938
"154","KU 12-17","press","2024-03-13 01:17:09.1640000",1271.66381835938
"155","KU 12-17","press","2024-03-13 01:17:44.1770000",1271.48718261719
"156","KU 12-17","press","2024-03-13 01:18:04.1750000",1271.310546875
"157","KU 12-17","press","2024-03-13 01:18:54.1710000",1271.1337890625
"158","KU 12-17","press","2024-03-13 01:19:24.1690000",1270.7216796875
"159","KU 12-17","press","2024-03-13 01:19:49.1670000",1270.7216796875
"160","KU 12-17","press","2024-03-13 01:20:04.1660000",1270.544921875
"161","KU 12-17","press","2024-03-13 01:20:34.1630000",1270.30944824219
"162","KU 12-17","press","2024-03-13 01:21:14.1600000",1270.19165039062
"163","KU 12-17","press","2024-03-13 01:21:34.1590000",1269.9560546875
"164","KU 12-17","press","2024-03-13 01:22:24.1700000",1269.77941894531
"165","KU 12-17","press","2024-03-13 01:22:44.1690000",1269.60278320312
"166","KU 12-17","press","2024-03-13 01:23:09.1670000",1269.3671875
"167","KU 12-17","press","2024-03-13 01:23:39.1640000",1269.24951171875
"168","KU 12-17","press","2024-03-13 01:24:19.1610000",1268.83728027344
"169","KU 12-17","press","2024-03-13 01:24:44.1590000",1268.83728027344
"170","KU 12-17","press","2024-03-13 01:25:04.1580000",1268.66052246094
"171","KU 12-17","press","2024-03-13 01:25:34.1550000",1268.54284667969
"172","KU 12-17","press","2024-03-13 01:26:29.1820000",1268.36608886719
